Trimestre;arrondissement;prix_m2
T1 2003;7;5690
T4 2002;7;5380
T3 2002;7;5020
T2 2002;7;5210
T1 2002;7;4870
T4 2001;7;4940
T3 2001;7;5090
T2 2001;7;4760
T1 2001;7;4860
T4 2000;7;4720
T3 2000;7;4650
T2 2000;7;4660
T1 2000;7;4230
T4 1999;7;4190
T3 1999;7;4080
T2 1999;7;3920
T1 1999;7;3940
T4 1998;7;3700
T3 1998;7;3630
T2 1998;7;3640
T1 1998;7;3240
T4 1997;7;3300
T3 1997;7;3220
T2 1997;7;3330
T1 1997;7;3360
T4 1996;7;3250
T3 1996;7;3330
T2 1996;7;3370
T1 1996;7;3340
T4 1995;7;3830
T4 2025;8;11500
T3 2025;8;12190
T2 2025;8;11710
T1 2025;8;11690
T4 2024;8;11760
T3 2024;8;11000
T2 2024;8;11230
T1 2024;8;11240
T4 2023;8;11230
T3 2023;8;11580
T2 2023;8;11890
T1 2023;8;11460
T4 2022;8;11550
T3 2022;8;11820
T2 2022;8;12040
T1 2022;8;11640
T4 2021;8;11920
T3 2021;8;11250
T2 2021;8;11550
T1 2021;8;11490
T4 2020;8;11620
T3 2020;8;11270
T2 2020;8;11480
T1 2020;8;11220
T4 2019;8;10830
T3 2019;8;10950
T2 2019;8;10820
T1 2019;8;10710
T4 2018;8;10500
T3 2018;8;10590
T2 2018;8;9900
T1 2018;8;10000
T4 2017;8;9900
T3 2017;8;10000
T2 2017;8;9910
T1 2017;8;9900
T4 2016;8;9210
T3 2016;8;9270
T2 2016;8;9280
T1 2016;8;8980
T4 2015;8;9060
T3 2015;8;9130
T2 2015;8;9530
T1 2015;8;9060
T4 2014;8;9170
T3 2014;8;9330
T2 2014;8;9320
T1 2014;8;10090
T4 2013;8;9600
T3 2013;8;9400
T2 2013;8;9290
T1 2013;8;9930
T4 2012;8;9640
T3 2012;8;9880
T2 2012;8;9880
T1 2012;8;10020
T4 2011;8;10120
T3 2011;8;10100
T2 2011;8;9280
T1 2011;8;9310
T4 2010;8;8890
T3 2010;8;8080
T2 2010;8;7990
T1 2010;8;8080
T4 2009;8;8150
T3 2009;8;7450
T2 2009;8;7300
T1 2009;8;7430
T4 2008;8;7910
T3 2008;8;8560
T2 2008;8;7740
T1 2008;8;7900
T4 2007;8;8080
T3 2007;8;7460
T2 2007;8;7030
T1 2007;8;7510
T4 2006;8;6920
T3 2006;8;6500
T2 2006;8;6080
T1 2006;8;6260
T4 2005;8;5920
T3 2005;8;5940
T2 2005;8;5730
T1 2005;8;5600
T4 2004;8;5530
T3 2004;8;5090
T2 2004;8;5360
T1 2004;8;5160
T4 2003;8;5110
T3 2003;8;5080
T2 2003;8;4900
T1 2003;8;4890
T4 2002;8;4670
T3 2002;8;4450
T2 2002;8;4740
T1 2002;8;4440
T4 2001;8;4270
T3 2001;8;4330
T2 2001;8;4210
T1 2001;8;4000
T4 2000;8;3910
T3 2000;8;3710
T2 2000;8;3630
T1 2000;8;3480
T4 1999;8;3380
T3 1999;8;3290
T2 1999;8;3030
T1 1999;8;3100
T4 1998;8;3040
T3 1998;8;2790
T2 1998;8;2770
T1 1998;8;2710
T4 1997;8;2810
T3 1997;8;3350
T2 1997;8;3160
T1 1997;8;3160
T4 1996;8;3230
T3 1996;8;3410
T2 1996;8;3150
T1 1996;8;3560
T4 1995;8;3520
T4 2025;9;10280
T3 2025;9;10340
T2 2025;9;10110
T1 2025;9;9960
T4 2024;9;9650
T3 2024;9;10190
T2 2024;9;10150
T1 2024;9;9750
T4 2023;9;10120
