X,Y,OBJECTID,c_ord,arro,qua,xbis,ybis,num,let,typ_voie,lib_voie,seq,sit,type,codact,ens,bio,surf,cc_id,cc_niv,niv47,niv18,niv8,niv2
650662.728,6866052.2126,6010,97237,17,68,650662.728,6866052.2126,79,,AV,SAINT OUEN,1,R,C,SB201,SOCIETE GENERALE,0,1,0,,10902,109,4,1
651597.381300002,6863850.3851,6015,97763,9,35,651593.60219031,6863851.69595083,7,,RUE,ROSSINI,2,R,C,CD402,ROSSINI,0,1,0,,10504,105,3,1
648082.599799998,6862306.6812,6017,97926,7,28,648082.5998,6862306.6812,14,X,QU,BRANLY,0,R,C,CE504,SOUVENIRS DE PARIS (KIOSQUE),0,1,0,,10605,106,3,1
649417.273699999,6866246.1116,6018,98008,17,67,649417.2737,6866246.1116,12,,RUE,MSTISLAV ROSTROPOVITCH,1,R,C,CA103,ATELIER PATISSIER,0,1,0,,10201,102,2,1
649353.669299997,6866214.0205,6019,98009,17,67,649353.6693,6866214.0205,20,,RUE,MSTISLAV ROSTROPOVITCH,1,R,C,CH103,O'ASIE,0,1,0,,11101,111,5,1
650089.414399996,6860388.101,6022,98088,15,58,650089.4144,6860388.101,4,,PL,RAOUL DAUTRY,46,CC,C,CB304,LOVISA,0,1,73,2,10303,103,3,1
655752.117399998,6862182.9725,6024,98197,20,79,655752.1174,6862182.9725,18,,VLA,RIBEROLLE,1,R,C,SA406,LAX STUDIO,0,1,0,,10804,108,4,1
654275.737599999,6859126.1699,6025,98433,13,50,654275.7376,6859126.1699,29,,RUE,NEUVE TOLBIAC,0,A,K,CE104,(KIOSQUE A JOURNAUX),0,1,0,,10601,106,3,1
655472.4397,6863150.8977,6027,98933,20,79,655472.4397,6863150.8977,2,,RUE,Boyer,1,R,C,SA406,ARTS PLUS GALLERY’S SOTT PILATES,0,1,0,,10804,108,4,1
653877.588100001,6859189.4534,6028,99086,13,50,653877.5881,6859189.4534,18,,RUE,CHARCOT,1,A,C,SA406,CENTRE CIEL ET TERRE,0,1,0,,10804,108,4,1
649331.719599999,6863646.8729,6029,99156,8,30,649335.31508247,6863645.12004353,24,,RUE,PONTHIEU,2,A,C,CH201,LILY WOOD,0,1,0,,11102,111,5,1
651930.2082,6863078.7952,6031,99367,2,7,651930.2082,6863078.7952,70,,RUE,MONTMARTRE,1,A,C,CC301,EYESHOW,0,1,0,,10403,104,3,1
655794.097400002,6862769.5522,6033,99723,20,79,655794.0974,6862769.5522,56,,RUE,RONDEAUX,1,R,C,SA510,PFG,0,1,0,,10805,108,4,1
653706.596900001,6864202.9704,6035,99755,10,40,653714.59646136,6864203.05417428,1,,RUE,VICQ D AZIR,3,R,C,CA111,LA CAVE DU BALLON ROUGE,0,1,0,,10201,102,2,1
647484.427699998,6861433.2924,6036,99831,15,59,647484.4277,6861433.2924,51,,QU,GRENELLE,1,R,C,CI108,YOOMA,0,1,0,,11201,112,8,1
649452.993500002,6865250.2496,6037,99916,17,67,649452.9935,6865250.2496,70,,RUE,TOCQUEVILLE,0,R,K,CE104,(KIOSQUE A JOURNAUX),,1,,,10601,106,3,1
